"","iyear","provstate","city","latitude","longitude","attacktype1_txt"
"65",1977,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"66",1977,"Cauca","Popayan",2.44186,-76.60617,"Bombing/Explosion"
"67",1977,"Valle del Cauca","Cali",3.429344,-76.516037,"Bombing/Explosion"
"68",1977,"Bogota","Bogota",4.667128,-74.106056,"Facility/Infrastructure Attack"
"69",1977,"Antioquia","Medellin",6.242026,-75.564766,"Assassination"
"70",1977,"Tolima","Unknown",4.092517,-75.154538,"Assassination"
"71",1977,"Antioquia","Medellin",6.242026,-75.564766,"Bombing/Explosion"
"74",1977,"Santander","Vuelta de Acuna",6.655556,-74.268889,"Assassination"
"75",1977,"Santander","Vuelta de Acuna",6.655556,-74.268889,"Assassination"
"77",1977,"Caqueta","Doncello",1.68448,-75.28659,"Armed Assault"
"80",1977,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Kidnapping)"
"81",1977,"Antioquia","Medellin",6.242026,-75.564766,"Hostage Taking (Kidnapping)"
"83",1977,"Valle del Cauca","Buenaventura",3.88182,-77.07042,"Bombing/Explosion"
"84",1977,"Santander","Bucaramanga",7.116294,-73.120026,"Bombing/Explosion"
"86",1977,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"87",1977,"Antioquia","Uraba",6.828333,-75.513056,"Hostage Taking (Kidnapping)"
"89",1977,"Antioquia","Medellin",6.242026,-75.564766,"Assassination"
"90",1977,"Santander","Barrancabermeja",7.060051,-73.853115,"Bombing/Explosion"
"91",1977,"Santander","Cimitarra",6.313712,-73.950146,"Hostage Taking (Kidnapping)"
"92",1977,"Caldas","Unknown",5.25001,-75.50003,"Bombing/Explosion"
"93",1977,"Risaralda","Unknown",4.99243,-76.01866,"Bombing/Explosion"
"94",1977,"Antioquia","Unknown",6.2675,-75.568611,"Bombing/Explosion"
"95",1977,"Cundinamarca","Yacopi",5.459444,-74.338056,"Armed Assault"
"96",1977,"Antioquia","Medellin",6.242026,-75.564766,"Bombing/Explosion"
"97",1977,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Barricade Incident)"
"98",1977,"Antioquia","Chigorodo",7.6676,-76.6803,"Hostage Taking (Kidnapping)"
"102",1977,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Kidnapping)"
"103",1977,"Santander","San Vicente de Chucuri",6.88105,-73.41157,"Hostage Taking (Kidnapping)"
"104",1977,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Kidnapping)"
"105",1977,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Kidnapping)"
"106",1977,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Kidnapping)"
"107",1977,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Kidnapping)"
"108",1977,"Cauca","Popayan",2.44186,-76.60617,"Bombing/Explosion"
"109",1977,"Valle del Cauca","Palmira",3.529901,-76.298006,"Hostage Taking (Kidnapping)"
"110",1977,"Cauca","Popayan",2.44532,-76.60791,"Hostage Taking (Kidnapping)"
"111",1977,"Cordoba","Los Flores",8.111382,-75.98551,"Hostage Taking (Kidnapping)"
"112",1977,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Kidnapping)"
"113",1977,"Huila","Neiva",2.925561,-75.290777,"Armed Assault"
"114",1977,"Atlantico","Sabanagrande",10.78935,-74.75409,"Armed Assault"
"115",1977,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Kidnapping)"
"116",1977,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"117",1977,"Putumayo","Villagarzon",1.03033,-76.61475,"Armed Assault"
"118",1977,"Putumayo","Villagarzon",1.03033,-76.61475,"Armed Assault"
"120",1977,"Risaralda","Pereira",4.814278,-75.694558,"Hostage Taking (Kidnapping)"
"121",1977,"Quindio","Calarca",4.5295,-75.64021,"Hostage Taking (Kidnapping)"
"122",1978,"Santander","Bolivar",5.989829,-73.770507,"Assassination"
"123",1978,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"124",1978,"Antioquia","Medellin",6.242026,-75.564766,"Hostage Taking (Barricade Incident)"
"127",1978,"Caldas","Manizales",5.067866,-75.517482,"Armed Assault"
"128",1978,"Risaralda","Pereira",4.814278,-75.694558,"Hostage Taking (Barricade Incident)"
"129",1978,"Boyaca","Unknown",5.45394,-73.36205,"Unknown"
"130",1978,"Valle del Cauca","Unknown",3.800889,-76.641271,"Armed Assault"
"131",1978,"Valle del Cauca","Buga",3.899726,-76.298083,"Assassination"
"133",1978,"Antioquia","Medellin",6.242026,-75.564766,"Hostage Taking (Barricade Incident)"
"135",1978,"Santander","Unknown",6.643708,-73.653621,"Bombing/Explosion"
"136",1978,"Boyaca","Duitama",5.82696,-73.03441,"Hostage Taking (Barricade Incident)"
"137",1978,"Valle del Cauca","Yumbo",3.579001,-76.495065,"Hostage Taking (Barricade Incident)"
"138",1978,"Valle del Cauca","Yumbo",3.579001,-76.495065,"Facility/Infrastructure Attack"
"140",1978,"Valle del Cauca","Cali",3.429344,-76.516037,"Assassination"
"141",1978,"Antioquia","Chigorodo",7.6676,-76.6803,"Armed Assault"
"143",1978,"Cundinamarca","El Penon",5.24859,-74.29013,"Armed Assault"
"144",1978,"Risaralda","Dos Quebradas",4.837712,-75.66807,"Hostage Taking (Barricade Incident)"
"145",1978,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Barricade Incident)"
"147",1978,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"148",1978,"Antioquia","Medellin",6.242026,-75.564766,"Hostage Taking (Kidnapping)"
"149",1978,"Santander","Bucaramanga",7.116294,-73.120026,"Armed Assault"
"150",1978,"Valle del Cauca","Yumbo",3.583748,-76.495727,"Bombing/Explosion"
"151",1978,"Valle del Cauca","Yumbo",3.583748,-76.495727,"Bombing/Explosion"
"152",1978,"Santander","Cimitarra",6.313712,-73.950146,"Armed Assault"
"153",1978,"Tolima","Ibague",4.43891,-75.23223,"Bombing/Explosion"
"154",1978,"Antioquia","Medellin",6.242026,-75.564766,"Armed Assault"
"155",1978,"Valle del Cauca","Cali",3.429344,-76.516037,"Hostage Taking (Barricade Incident)"
"156",1978,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"157",1978,"Cauca","Popayan",2.44186,-76.60617,"Bombing/Explosion"
"158",1978,"Bolivar","Pinillos",8.914836,-74.462156,"Armed Assault"
"159",1978,"Valle del Cauca","Cali",3.429344,-76.516037,"Hostage Taking (Barricade Incident)"
"160",1978,"Bolivar","Mompos",9.240732,-74.424443,"Armed Assault"
"161",1978,"Sucre","Corozal",9.31585,-75.29277,"Bombing/Explosion"
"162",1978,"Sucre","Corozal",9.31585,-75.29277,"Bombing/Explosion"
"163",1978,"Boyaca","Puerto Boyaca",5.975153,-74.586142,"Hostage Taking (Kidnapping)"
"164",1978,"Valle del Cauca","Cali district",3.420628,-76.522119,"Armed Assault"
"165",1978,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Kidnapping)"
"166",1978,"Cordoba","Juan Jose",7.800252,-75.850003,"Armed Assault"
"167",1978,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Kidnapping)"
"168",1978,"Cauca","Popayan",2.44186,-76.60617,"Bombing/Explosion"
"169",1978,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"170",1978,"Santander","Unknown",6.643708,-73.653621,"Bombing/Explosion"
"171",1978,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"172",1978,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"173",1978,"Antioquia","Puerto Berrio",6.48927,-74.40176,"Hostage Taking (Kidnapping)"
"174",1978,"Atlantico","Barranquilla",10.981412,-74.778319,"Assassination"
"175",1978,"Valle del Cauca","Cartago",4.74871,-75.91319,"Assassination"
"176",1978,"Bogota","Bogota",4.667128,-74.106056,"Assassination"
"177",1978,"Santander","Bucaramanga",7.116294,-73.120026,"Bombing/Explosion"
"178",1978,"Cundinamarca","Unknown",5.026003,-74.030012,"Hostage Taking (Barricade Incident)"
"179",1978,"Valle del Cauca","Yumbo",3.583748,-76.495727,"Bombing/Explosion"
"180",1978,"Valle del Cauca","Cali",3.429344,-76.516037,"Bombing/Explosion"
"181",1978,"Valle del Cauca","Cali",3.429344,-76.516037,"Bombing/Explosion"
"182",1978,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Kidnapping)"
"183",1978,"Antioquia","Mutata",7.243889,-76.435556,"Hostage Taking (Kidnapping)"
"184",1978,"Santander","Unknown",6.643708,-73.653621,"Unknown"
"185",1978,"Santander","La Aguada district",6.161808,-73.522011,"Hostage Taking (Kidnapping)"
"187",1978,"Cesar","Valledupar",10.47692,-73.25049,"Assassination"
"188",1978,"Norte de Santander","Cucuta",7.894195,-72.503885,"Hostage Taking (Kidnapping)"
"189",1978,"Antioquia","Cisneros",6.538423,-75.087737,"Assassination"
"190",1978,"Bolivar","Machado",10.24154,-74.968547,"Assassination"
"191",1978,"La Guajira","San Juan de Cesar",10.77259,-73.00454,"Assassination"
"192",1978,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Kidnapping)"
"193",1978,"Cauca","Popayan",2.44186,-76.60617,"Armed Assault"
"194",1978,"Cesar","Caracolicito",10.195424,-73.972736,"Armed Assault"
"195",1978,"Santander","Bucaramanga",7.116294,-73.120026,"Bombing/Explosion"
"196",1978,"Santander","Bucaramanga",7.116294,-73.120026,"Bombing/Explosion"
"197",1978,"Santander","Bucaramanga",7.116294,-73.120026,"Bombing/Explosion"
"198",1978,"Antioquia","Medellin",6.242026,-75.564766,"Armed Assault"
"199",1978,"Caldas","Manizales",5.067866,-75.517482,"Assassination"
"200",1978,"Bogota","Bogota",4.667128,-74.106056,"Assassination"
"201",1978,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"202",1978,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Barricade Incident)"
"203",1978,"La Guajira","Unknown",11.354774,-72.520483,"Bombing/Explosion"
"204",1978,"Magdalena","Santa Marta",11.242035,-74.205384,"Bombing/Explosion"
"205",1978,"Cordoba","Puerto Libertador",7.89014,-75.66967,"Armed Assault"
"206",1978,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Kidnapping)"
"207",1978,"Bogota","Bogota",4.667128,-74.106056,"Armed Assault"
"208",1978,"Bogota","Bogota",4.667128,-74.106056,"Armed Assault"
"209",1978,"Bogota","Bogota",4.667128,-74.106056,"Facility/Infrastructure Attack"
"210",1978,"Valle del Cauca","Cali",3.429344,-76.516037,"Facility/Infrastructure Attack"
"211",1978,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Barricade Incident)"
"212",1978,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"213",1978,"Bolivar","Magangue",9.24605,-74.7595,"Hostage Taking (Kidnapping)"
"214",1978,"Santander","Unknown",6.643708,-73.653621,"Assassination"
"215",1978,"Santander","Unknown",6.643708,-73.653621,"Assassination"
"216",1978,"Antioquia","Unknown",6.2675,-75.568611,"Armed Assault"
"217",1978,"Santander","Callejas",6.3,-74.483333,"Armed Assault"
"218",1978,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"219",1978,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"220",1978,"Valle del Cauca","Cartago",4.74871,-75.91319,"Assassination"
"221",1978,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"222",1978,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"223",1978,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"224",1978,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"225",1978,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"226",1978,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"227",1978,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"228",1978,"Caqueta","El Paujil",1.57036,-75.32731,"Armed Assault"
"229",1978,"Santander","Cimitarra",6.313712,-73.950146,"Armed Assault"
"230",1978,"Bogota","Bogota",4.667128,-74.106056,"Assassination"
"231",1978,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Barricade Incident)"
"232",1978,"Bogota","Bogota",4.667128,-74.106056,"Armed Assault"
"233",1978,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Barricade Incident)"
"234",1978,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Barricade Incident)"
"235",1978,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Barricade Incident)"
"236",1978,"Caldas","Risaralda",5.16555,-75.76648,"Assassination"
"238",1978,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"239",1978,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Kidnapping)"
"240",1978,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Kidnapping)"
"241",1978,"Antioquia","San Luis",6.04278,-74.99493,"Armed Assault"
"243",1978,"Bogota","Bogota",4.667128,-74.106056,"Assassination"
"244",1978,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Kidnapping)"
"245",1978,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Kidnapping)"
"246",1978,"Bogota","Bogota",4.667128,-74.106056,"Armed Assault"
"247",1978,"Bogota","Bogota",4.667128,-74.106056,"Assassination"
"248",1978,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"249",1978,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"250",1978,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"251",1978,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"252",1978,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"253",1978,"Cundinamarca","Utica",5.18821,-74.48038,"Assassination"
"254",1978,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Kidnapping)"
"255",1978,"Bogota","Bogota",4.667128,-74.106056,"Armed Assault"
"256",1978,"Bogota","Bogota",4.667128,-74.106056,"Armed Assault"
"257",1978,"Caqueta","La Montanita",1.47888,-75.43724,"Assassination"
"259",1978,"Bogota","Bogota",4.667128,-74.106056,"Armed Assault"
"260",1978,"Bogota","Bogota",4.667128,-74.106056,"Armed Assault"
"261",1978,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Kidnapping)"
"262",1978,"Tolima","Saldana",3.92948,-75.01439,"Hostage Taking (Kidnapping)"
"263",1978,"Antioquia","Rio Negro",6.153669,-75.37416,"Hostage Taking (Kidnapping)"
"264",1978,"Antioquia","Rio Negro",6.153669,-75.37416,"Hostage Taking (Kidnapping)"
"265",1978,"Caqueta","Cartagena del Chaira",1.334366,-74.841392,"Unknown"
"266",1978,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"267",1978,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"269",1978,"Bogota","Bogota",4.667128,-74.106056,"Unknown"
"270",1978,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"271",1978,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Kidnapping)"
"272",1978,"Bogota","Bogota",4.667128,-74.106056,"Armed Assault"
"273",1978,"Narino","La Florida",1.29873,-77.4066,"Hostage Taking (Kidnapping)"
"274",1978,"Caqueta","La Montanita",1.47888,-75.43724,"Hostage Taking (Kidnapping)"
"276",1978,"Risaralda","Pereira",4.814278,-75.694558,"Unknown"
"277",1978,"Risaralda","Pereira",4.814278,-75.694558,"Unknown"
"278",1978,"Cauca","Unknown",2.243589,-77.010385,"Unknown"
"279",1978,"Antioquia","Urrao",6.31609,-76.13397,"Armed Assault"
"280",1979,"Bogota","Bogota",4.667128,-74.106056,"Unknown"
"281",1979,"Caqueta","San Antonio de Getucha",1.10091,-75.40091,"Unknown"
"282",1979,"Cundinamarca","Yacopi",5.459444,-74.338056,"Bombing/Explosion"
"283",1979,"Valle del Cauca","Cali",3.429344,-76.516037,"Armed Assault"
"284",1979,"Santander","Barrancabermeja",7.060051,-73.853115,"Facility/Infrastructure Attack"
"285",1979,"Santander","Santa Elena del Opon",6.339722,-73.616944,"Assassination"
"286",1979,"Cundinamarca","Yacopi",5.459444,-74.338056,"Bombing/Explosion"
"287",1979,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Kidnapping)"
"288",1979,"Quindio","Armenia",4.528694,-75.703846,"Hostage Taking (Barricade Incident)"
"289",1979,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"290",1979,"Bogota","Bogota",4.667128,-74.106056,"Unknown"
"292",1979,"Choco","Vigia de Cuvarado",7.074167,-76.921389,"Armed Assault"
"293",1979,"Bogota","Bogota",4.667128,-74.106056,"Unknown"
"294",1979,"Norte de Santander","Convencion",8.833351,-73.200031,"Unknown"
"295",1979,"Santander","Cimitarra",6.313712,-73.950146,"Armed Assault"
"296",1979,"Antioquia","Medellin",6.242026,-75.564766,"Armed Assault"
"297",1979,"Huila","Acevedo",1.804883,-75.89077,"Armed Assault"
"298",1979,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Barricade Incident)"
"299",1979,"Cauca","Unknown",2.243589,-77.010385,"Assassination"
"300",1979,"Santander","San Vicente de Chucuri",6.88105,-73.41157,"Unknown"
"301",1979,"Risaralda","Pereira",4.814278,-75.694558,"Hostage Taking (Kidnapping)"
"302",1979,"Cordoba","Tierralta",8.173611,-76.059167,"Unknown"
"303",1979,"Cundinamarca","Yacopi",5.459444,-74.338056,"Unknown"
"304",1979,"Risaralda","Pereira",4.814278,-75.694558,"Hostage Taking (Kidnapping)"
"305",1979,"Tolima","Doima",4.42751,-74.975698,"Hostage Taking (Kidnapping)"
"306",1979,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"307",1979,"Antioquia","Medellin",6.242026,-75.564766,"Unknown"
"308",1979,"Santander","Campo Seco",6.263255,-74.298998,"Assassination"
"309",1979,"Boyaca","Puerto Boyaca",5.975153,-74.586142,"Assassination"
"310",1979,"Risaralda","Pereira",4.814278,-75.694558,"Unknown"
"311",1979,"Risaralda","Pereira",4.814278,-75.694558,"Unknown"
"312",1979,"Quindio","Armenia",4.528694,-75.703846,"Unknown"
"313",1979,"Valle del Cauca","Cartago",4.74871,-75.91319,"Unknown"
"314",1979,"Norte de Santander","Cucuta",7.894195,-72.503885,"Assassination"
"315",1979,"Bogota","Bogota",4.667128,-74.106056,"Unknown"
"316",1979,"Bogota","Bogota",4.667128,-74.106056,"Assassination"
"317",1979,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"318",1979,"Cordoba","Montelibano district",7.98092,-75.41919,"Unknown"
"319",1979,"Valle del Cauca","Cali",3.429344,-76.516037,"Hostage Taking (Barricade Incident)"
"320",1979,"Valle del Cauca","Cali",3.429344,-76.516037,"Armed Assault"
"321",1979,"Antioquia","Puerto Nare",6.18676,-74.58397,"Unknown"
"322",1979,"Bogota","Bogota",4.667128,-74.106056,"Assassination"
"323",1979,"Bogota","Bogota",4.667128,-74.106056,"Assassination"
"324",1979,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Barricade Incident)"
"325",1979,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"326",1979,"Cauca","El Tambo",2.449953,-76.807846,"Hostage Taking (Barricade Incident)"
"327",1979,"Cauca","Huisito",2.53338,-77.08325,"Facility/Infrastructure Attack"
"328",1979,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"329",1979,"Tolima","Alto Sinai",4.800378,-75.216608,"Unknown"
"330",1979,"Antioquia","Medellin",6.242026,-75.564766,"Armed Assault"
"331",1979,"Antioquia","Medellin",6.242026,-75.564766,"Assassination"
"332",1979,"Antioquia","Medellin",6.242026,-75.564766,"Bombing/Explosion"
"333",1979,"Antioquia","Medellin",6.242026,-75.564766,"Hostage Taking (Barricade Incident)"
"334",1979,"Santander","Cimitarra",6.313712,-73.950146,"Armed Assault"
"335",1979,"Antioquia","Dabeiba",7.00063,-76.26572,"Unknown"
"336",1979,"Caqueta","Belen de los Andaquies",1.41608,-75.87266,"Unknown"
"337",1979,"Antioquia","Currulao",7.99221,-76.63719,"Unknown"
"338",1979,"Bogota","Bogota",4.667128,-74.106056,"Unknown"
"339",1979,"Caldas","La Dorada",5.449497,-74.667911,"Hostage Taking (Kidnapping)"
"340",1979,"Antioquia","Medellin",6.242026,-75.564766,"Hostage Taking (Kidnapping)"
"341",1979,"Bogota","Bogota",4.667128,-74.106056,"Assassination"
"342",1979,"Valle del Cauca","Unknown",3.800889,-76.641271,"Bombing/Explosion"
"343",1979,"Antioquia","Remedios",7.07786,-74.70355,"Hostage Taking (Kidnapping)"
"344",1979,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"345",1979,"Caldas","Unknown",5.25001,-75.50003,"Hostage Taking (Kidnapping)"
"346",1979,"Valle del Cauca","Trujillo",4.21238,-76.31923,"Assassination"
"347",1979,"Magdalena","Santa Marta",11.242035,-74.205384,"Unknown"
"348",1979,"Valle del Cauca","Tulua",4.085809,-76.197188,"Assassination"
"349",1979,"Cauca","Caldono",2.796196,-76.483134,"Armed Assault"
"350",1979,"Valle del Cauca","Tulua",4.085809,-76.197188,"Assassination"
"351",1979,"Antioquia","Copacabana",6.34593,-75.50811,"Hostage Taking (Kidnapping)"
"352",1979,"Cundinamarca","Franco",5.026003,-74.030012,"Bombing/Explosion"
"353",1979,"Antioquia","Medellin",6.242026,-75.564766,"Assassination"
"354",1979,"Antioquia","Medellin",6.242026,-75.564766,"Assassination"
"355",1979,"Bogota","Bogota",4.667128,-74.106056,"Armed Assault"
"356",1979,"Bolivar","Pinalito",9.13294,-74.79608,"Armed Assault"
"357",1979,"La Guajira","Palomino",11.245303,-73.558946,"Armed Assault"
"359",1979,"Santander","La Belleza",5.85936,-73.96559,"Assassination"
"360",1979,"Santander","La Belleza",5.85936,-73.96559,"Armed Assault"
"361",1979,"Magdalena","Santa Marta",11.242035,-74.205384,"Bombing/Explosion"
"362",1979,"Santander","Jesus Maria",5.87584,-73.781999,"Armed Assault"
"363",1979,"Santander","La Belleza",5.85936,-73.96559,"Armed Assault"
"364",1979,"Santander","La Belleza",5.85936,-73.96559,"Armed Assault"
"365",1979,"Santander","La Belleza",5.85936,-73.96559,"Armed Assault"
"366",1979,"Antioquia","Uraba",6.828333,-75.513056,"Hostage Taking (Kidnapping)"
"367",1979,"Valle del Cauca","Cali",3.429344,-76.516037,"Facility/Infrastructure Attack"
"368",1979,"Antioquia","Medellin",6.242026,-75.564766,"Facility/Infrastructure Attack"
"369",1979,"Antioquia","Medellin",6.242026,-75.564766,"Facility/Infrastructure Attack"
"370",1979,"Antioquia","Medellin",6.242026,-75.564766,"Facility/Infrastructure Attack"
"371",1979,"Valle del Cauca","Cali",3.429344,-76.516037,"Armed Assault"
